source_references,msgctxt,msgid,msgstr,comments
src/components/routes/product-widget/CollectInformation/index.tsx:611,,1 ticket,"=GOOGLETRANSLATE(C48, ""en"", ""el"")",
src/components/common/EventCard/index.tsx:121,,1 ticket type,"=GOOGLETRANSLATE(C49, ""en"", ""el"")",
src/components/modals/SendMessageModal/index.tsx:110,,1 week before event,"=GOOGLETRANSLATE(C50, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/LocationSettings/index.tsx:126 | src/components/routes/organizer/Settings/Sections/AddressSettings/index.tsx:81,,123 Main Street,"=GOOGLETRANSLATE(C51, ""en"", ""el"")",
src/components/routes/event/TicketDesigner/TicketDesignerPrint.tsx:81 | src/components/routes/event/TicketDesigner/TicketPreview.tsx:89,,123 Sample Street,"=GOOGLETRANSLATE(C52, ""en"", ""el"")",
src/components/common/WidgetEditor/index.tsx:230,,20,"=GOOGLETRANSLATE(C53, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/LocationSettings/index.tsx:150 | src/components/routes/organizer/Settings/Sections/AddressSettings/index.tsx:105,,94103,"=GOOGLETRANSLATE(C54, ""en"", ""el"")",
src/components/routes/product-widget/OrderSummaryAndProducts/index.tsx:206,,A cancellation notice has been sent to,"=GOOGLETRANSLATE(C55, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:138,,A date input. Perfect for asking for a date of birth etc.,"=GOOGLETRANSLATE(C56, ""en"", ""el"")",
src/components/forms/TaxAndFeeForm/index.tsx:88,,A default {type} is automaticaly applied to all new products. You can override this on a per product basis.,"=GOOGLETRANSLATE(C57, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:126,,A Dropdown input allows only one selection,"=GOOGLETRANSLATE(C58, ""en"", ""el"")",
src/components/forms/TaxAndFeeForm/index.tsx:20,,"A fee, like a booking fee or a service fee","=GOOGLETRANSLATE(C59, ""en"", ""el"")",
src/components/forms/TaxAndFeeForm/index.tsx:35,,"A fixed amount per product. E.g, $0.50 per product","=GOOGLETRANSLATE(C60, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:108,,A multi line text input,"=GOOGLETRANSLATE(C61, ""en"", ""el"")",
src/components/routes/welcome/index.tsx:116,,A new verification code has been sent to your email,"=GOOGLETRANSLATE(C62, ""en"", ""el"")",
src/components/forms/TaxAndFeeForm/index.tsx:29,,"A percentage of the product price. E.g., 3.5% of the product price","=GOOGLETRANSLATE(C63, ""en"", ""el"")",
src/components/forms/PromoCodeForm/index.tsx:67,,A promo code with no discount can be used to reveal hidden products.,"=GOOGLETRANSLATE(C64, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:120,,A Radio option has multiple options but only one can be selected.,"=GOOGLETRANSLATE(C65, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/SeoSettings/index.tsx:72 | src/components/routes/organizer/Settings/Sections/SeoSettings/index.tsx:69,,"A short description of the event that will be displayed in search engine results and when sharing on social media. By default, the event description will be used","=GOOGLETRANSLATE(C66, ""en"", ""el"")",
src/components/routes/organizer/Settings/Sections/BasicSettings/index.tsx:89,,A short description of your organizer that will be displayed to your users.,"=GOOGLETRANSLATE(C67, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:102,,A single line text input,"=GOOGLETRANSLATE(C68, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:87,,"A single question per order. E.g, What is your shipping address?","=GOOGLETRANSLATE(C69, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:93,,"A single question per product. E.g, What is your t-shirt size?","=GOOGLETRANSLATE(C70, ""en"", ""el"")",
src/components/forms/TaxAndFeeForm/index.tsx:14,,"A standard tax, like VAT or GST","=GOOGLETRANSLATE(C71, ""en"", ""el"")",
src/components/common/OrdersTable/index.tsx:429,,Abandoned,"=GOOGLETRANSLATE(C72, ""en"", ""el"")",
src/components/layouts/EventHomepage/index.tsx:389,,About,"=GOOGLETRANSLATE(C73, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:434 | src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:463 | src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:681,,About Stripe Connect,"=GOOGLETRANSLATE(C74, ""en"", ""el"")",
src/components/common/PlatformFeesSettings/index.tsx:195,,Absorb fee,"=GOOGLETRANSLATE(C75, ""en"", ""el"")",
src/components/common/PlatformFeesSettings/index.tsx:232,,Absorb Fee,"=GOOGLETRANSLATE(C76, ""en"", ""el"")",
src/components/common/ThemeColorControls/index.tsx:51 | src/components/routes/event/TicketDesigner/index.tsx:129,,Accent Color,"=GOOGLETRANSLATE(C77, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/PaymentSettings/index.tsx:94,,"Accept bank transfers, checks, or other offline payment methods","=GOOGLETRANSLATE(C78, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/PaymentSettings/index.tsx:89,,Accept credit card payments with Stripe,"=GOOGLETRANSLATE(C79, ""en"", ""el"")",
src/components/routes/auth/AcceptInvitation/index.tsx:87,,Accept invitation,"=GOOGLETRANSLATE(C80, ""en"", ""el"")",
src/components/routes/auth/AcceptInvitation/index.tsx:166,,Accept Invitation,"=GOOGLETRANSLATE(C81, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:358 | src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:609,,Access Denied,"=GOOGLETRANSLATE(C82, ""en"", ""el"")",
src/components/common/AdminOrdersTable/index.tsx:70 | src/components/routes/account/ManageAccount/index.tsx:24 | src/components/routes/account/ManageAccount/sections/AccountSettings/index.tsx:53 | src/components/routes/admin/Dashboard/index.tsx:353 | src/components/routes/admin/Dashboard/index.tsx:400 | src/components/routes/admin/Messages/index.tsx:164 | src/components/routes/admin/Messages/index.tsx:281,,Account,"=GOOGLETRANSLATE(C83, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:343,,Account already connected!,"=GOOGLETRANSLATE(C84, ""en"", ""el"")",
src/components/modals/EditAccountConfigurationModal/index.tsx:70,,Account configuration updated successfully,"=GOOGLETRANSLATE(C85, ""en"", ""el"")",
src/components/routes/admin/Accounts/AccountDetail/index.tsx:123,,Account Information,"=GOOGLETRANSLATE(C86, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/AccountSettings/index.tsx:62,,Account Name,"=GOOGLETRANSLATE(C87, ""en"", ""el"")",
src/components/routes/admin/Accounts/AccountDetail/index.tsx:87,,Account not found,"=GOOGLETRANSLATE(C88, ""en"", ""el"")",
src/components/common/GlobalMenu/index.tsx:47 | src/components/routes/account/ManageAccount/index.tsx:19,,Account Settings,"=GOOGLETRANSLATE(C89, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/AccountSettings/index.tsx:42,,Account updated successfully,"=GOOGLETRANSLATE(C90, ""en"", ""el"")",
src/components/common/AdminUsersTable/index.tsx:127 | src/components/layouts/Admin/index.tsx:14 | src/components/routes/admin/Accounts/index.tsx:57 | src/components/routes/admin/Attribution/index.tsx:132,,Accounts,"=GOOGLETRANSLATE(C91, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:71,,Action Required: Reconnect Your Stripe Account,"=GOOGLETRANSLATE(C92, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/VatSettings/index.tsx:57,,Action Required: VAT Information Needed,"=GOOGLETRANSLATE(C93, ""en"", ""el"")",
src/components/common/AdminEventsTable/index.tsx:112 | src/components/common/AffiliateTable/index.tsx:172 | src/components/common/AttendeeTable/index.tsx:346 | src/components/common/OrdersTable/index.tsx:438 | src/components/common/ProductsTable/SortableProduct/index.tsx:471 | src/components/common/WaitlistTable/index.tsx:55 | src/components/common/WaitlistTable/index.tsx:210 | src/components/routes/admin/FailedJobs/index.tsx:167,,Actions,"=GOOGLETRANSLATE(C94, ""en"", ""el"")",
src/components/common/AttendeeTable/index.tsx:370,,Activate,"=GOOGLETRANSLATE(C95, ""en"", ""el"")",
src/components/forms/CheckInListForm/index.tsx:83,,Activation date,"=GOOGLETRANSLATE(C96, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:136 | src/components/common/AttendeeTable/index.tsx:283 | src/components/common/CheckInListList/index.tsx:118 | src/components/common/EmailTemplateSettings/EmailTemplateSettingsBase.tsx:269 | src/components/forms/AffiliateForm/index.tsx:21 | src/components/forms/CapaciyAssigmentForm/index.tsx:19 | src/components/modals/EditUserModal/index.tsx:116 | src/components/routes/event/attendees.tsx:27,,Active,"=GOOGLETRANSLATE(C97, ""en"", ""el"")",
src/components/routes/admin/Dashboard/index.tsx:354,,Active Events,"=GOOGLETRANSLATE(C98, ""en"", ""el"")",
src/components/forms/CheckInListForm/index.tsx:53,,Add a description for this check-in list,"=GOOGLETRANSLATE(C99, ""en"", ""el"")",
src/components/modals/ManageAttendeeModal/index.tsx:131,,Add any notes about the attendee. These will not be visible to the attendee.,"=GOOGLETRANSLATE(C100, ""en"", ""el"")",
src/components/modals/ManageAttendeeModal/index.tsx:133,,Add any notes about the attendee...,"=GOOGLETRANSLATE(C101, ""en"", ""el"")",
src/components/modals/ManageOrderModal/index.tsx:165,,Add any notes about the order. These will not be visible to the customer.,"=GOOGLETRANSLATE(C102, ""en"", ""el"")",
src/components/modals/ManageOrderModal/index.tsx:169,,Add any notes about the order...,"=GOOGLETRANSLATE(C103, ""en"", ""el"")",
src/components/common/QuestionsTable/index.tsx:433,,Add custom questions to collect additional information during checkout,"=GOOGLETRANSLATE(C104, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:202,,Add description,"=GOOGLETRANSLATE(C105, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:142,,Add event details and manage event settings.,"=GOOGLETRANSLATE(C106, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/PaymentSettings/index.tsx:156,,"Add instructions for offline payments (e.g., bank transfer details, where to send checks, payment deadlines)","=GOOGLETRANSLATE(C107, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:132,,Add More tickets,"=GOOGLETRANSLATE(C108, ""en"", ""el"")",
src/components/common/HeadingCard/index.tsx:27,,Add New,"=GOOGLETRANSLATE(C109, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:68,,Add Option,"=GOOGLETRANSLATE(C110, ""en"", ""el"")",
src/components/common/ProductsTable/ProductsBlankSlate/index.tsx:73,,Add Product,"=GOOGLETRANSLATE(C111, ""en"", ""el"")",
src/components/common/ProductsTable/ProductsBlankSlate/index.tsx:54,,Add Product to Category,"=GOOGLETRANSLATE(C112, ""en"", ""el"")",
src/components/common/QuestionsTable/index.tsx:224 | src/components/common/QuestionsTable/index.tsx:478,,Add Question,"=GOOGLETRANSLATE(C113, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/TaxSettings/index.tsx:20,,Add Tax or Fee,"=GOOGLETRANSLATE(C114, ""en"", ""el"")",
src/components/common/AddToCalendarCTA/index.tsx:20,,Add this event to your calendar,"=GOOGLETRANSLATE(C115, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:132,,Add tickets,"=GOOGLETRANSLATE(C116, ""en"", ""el"")",
src/components/forms/ProductForm/index.tsx:360,,Add tier,"=GOOGLETRANSLATE(C117, ""en"", ""el"")",
src/components/common/AddEventToCalendarButton/index.tsx:14 | src/components/common/AddToCalendarCTA/index.tsx:24 | src/components/layouts/EventHomepage/index.tsx:322,,Add to Calendar,"=GOOGLETRANSLATE(C118, ""en"", ""el"")",
src/components/common/OrganizerWebhookTable/index.tsx:223 | src/components/common/WebhookTable/index.tsx:223 | src/components/routes/event/Webhooks/index.tsx:37 | src/components/routes/organizer/Webhooks/index.tsx:35,,Add Webhook,"=GOOGLETRANSLATE(C119, ""en"", ""el"")",
src/components/routes/organizer/Settings/Sections/SocialLinks/index.tsx:185,,Add your social media handles and website URL. These will be displayed on your public organizer page.,"=GOOGLETRANSLATE(C120, ""en"", ""el"")",
src/components/common/PlatformFeesSettings/index.tsx:260,,Additional Fees,"=GOOGLETRANSLATE(C121, ""en"", ""el"")",
src/components/routes/product-widget/OrderSummaryAndProducts/index.tsx:380,,Additional Information,"=GOOGLETRANSLATE(C122, ""en"", ""el"")",
src/components/common/OrderDetails/index.tsx:96 | src/components/forms/QuestionForm/index.tsx:130 | src/components/routes/organizer/Settings/index.tsx:41 | src/components/routes/organizer/Settings/Sections/AddressSettings/index.tsx:67,,Address,"=GOOGLETRANSLATE(C123, ""en"", ""el"")",
src/components/common/CheckoutQuestion/index.tsx:156,,Address line 1,"=GOOGLETRANSLATE(C124, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/LocationSettings/index.tsx:125 | src/components/routes/organizer/Settings/Sections/AddressSettings/index.tsx:80 | src/components/routes/product-widget/CollectInformation/index.tsx:523 | src/components/routes/product-widget/CollectInformation/index.tsx:524,,Address Line 1,"=GOOGLETRANSLATE(C125, ""en"", ""el"")",
src/components/common/CheckoutQuestion/index.tsx:159,,Address line 2,"=GOOGLETRANSLATE(C126, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/LocationSettings/index.tsx:130 | src/components/routes/organizer/Settings/Sections/AddressSettings/index.tsx:85 | src/components/routes/product-widget/CollectInformation/index.tsx:528 | src/components/routes/product-widget/CollectInformation/index.tsx:529,,Address Line 2,"=GOOGLETRANSLATE(C127, ""en"", ""el"")",
src/components/layouts/Admin/index.tsx:12 | src/components/modals/EditUserModal/index.tsx:49 | src/components/modals/InviteUserModal/index.tsx:41,,Admin,"=GOOGLETRANSLATE(C128, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/DangerZoneSettings/index.tsx:70 | src/components/routes/organizer/Settings/Sections/DangerZoneSettings/index.tsx:76,,Admin Access Required,"=GOOGLETRANSLATE(C129, ""en"", ""el"")",
src/components/common/GlobalMenu/index.tsx:63 | src/components/layouts/Admin/index.tsx:27 | src/components/routes/admin/Dashboard/index.tsx:70,,Admin Dashboard,"=GOOGLETRANSLATE(C130, ""en"", ""el"")",
src/components/modals/EditUserModal/index.tsx:51 | src/components/modals/InviteUserModal/index.tsx:43,,Admin users have full access to events and account settings.,"=GOOGLETRANSLATE(C131, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:87,,Affiliate,"=GOOGLETRANSLATE(C132, ""en"", ""el"")",
src/components/forms/AffiliateForm/index.tsx:75,,Affiliate code cannot be changed,"=GOOGLETRANSLATE(C133, ""en"", ""el"")",
src/components/modals/CreateAffiliateModal/index.tsx:55,,Affiliate created successfully,"=GOOGLETRANSLATE(C134, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:42,,Affiliate deleted successfully,"=GOOGLETRANSLATE(C135, ""en"", ""el"")",
src/components/forms/AffiliateForm/index.tsx:23,,Affiliate sales will be tracked,"=GOOGLETRANSLATE(C136, ""en"", ""el"")",
src/components/forms/AffiliateForm/index.tsx:29,,Affiliate sales will not be tracked. This will deactivate the affiliate.,"=GOOGLETRANSLATE(C137, ""en"", ""el"")",
src/components/modals/EditAffiliateModal/index.tsx:63,,Affiliate updated successfully,"=GOOGLETRANSLATE(C138, ""en"", ""el"")",
src/components/layouts/Event/index.tsx:116 | src/components/modals/DuplicateEventModal/index.tsx:33 | src/components/routes/event/Affiliates/index.tsx:66,,Affiliates,"=GOOGLETRANSLATE(C139, ""en"", ""el"")",
src/components/routes/event/Affiliates/index.tsx:49,,Affiliates Exported,"=GOOGLETRANSLATE(C140, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:63,,Affiliates help you track sales generated by partners and influencers. Create affiliate codes and share them to monitor performance.,"=GOOGLETRANSLATE(C141, ""en"", ""el"")",
src/components/routes/events/Dashboard/index.tsx:77,,All Archived Events,"=GOOGLETRANSLATE(C142, ""en"", ""el"")",
src/components/common/MessageList/index.tsx:29 | src/components/routes/product-widget/CollectInformation/index.tsx:505,,All attendees,"=GOOGLETRANSLATE(C143, ""en"", ""el"")",
src/components/modals/SendMessageModal/index.tsx:290,,All attendees of this event,"=GOOGLETRANSLATE(C144, ""en"", ""el"")",
src/components/common/OrganizerReportTable/index.tsx:291,,All Currencies,"=GOOGLETRANSLATE(C145, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:185,,All done! You're now using our upgraded payment system.,"=GOOGLETRANSLATE(C146, ""en"", ""el"")",
src/components/routes/events/Dashboard/index.tsx:75,,All Ended Events,"=GOOGLETRANSLATE(C147, ""en"", ""el"")",
src/components/routes/organizer/Reports/PlatformFeesReport/index.tsx:33,,All Events,"=GOOGLETRANSLATE(C148, ""en"", ""el"")",
src/components/routes/admin/FailedJobs/index.tsx:90,,All failed jobs deleted,"=GOOGLETRANSLATE(C149, ""en"", ""el"")",
src/components/routes/admin/FailedJobs/index.tsx:76,,All jobs queued for retry,"=GOOGLETRANSLATE(C150, ""en"", ""el"")",
src/components/common/PromoCodeTable/index.tsx:136,,All Products,"=GOOGLETRANSLATE(C151, ""en"", ""el"")",
src/components/routes/event/SoldOutWaitlist/index.tsx:64,,All Statuses,"=GOOGLETRANSLATE(C152, ""en"", ""el"")",
src/components/routes/events/Dashboard/index.tsx:73,,All Upcoming Events,"=GOOGLETRANSLATE(C153, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/PaymentSettings/index.tsx:160,,Allow attendees associated with unpaid orders to check in,"=GOOGLETRANSLATE(C154, ""en"", ""el"")",
src/components/common/SelfServiceSettings/index.tsx:23,,"Allow attendees to update their ticket information (name, email) via a secure link sent with their order confirmation.","=GOOGLETRANSLATE(C155, ""en"", ""el"")",
src/components/forms/ProductForm/index.tsx:491,,Allow customers to join a waitlist when this product is sold out,"=GOOGLETRANSLATE(C156, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/SeoSettings/index.tsx:85 | src/components/routes/organizer/Settings/Sections/SeoSettings/index.tsx:82,,Allow search engine indexing,"=GOOGLETRANSLATE(C157, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/SeoSettings/index.tsx:84 | src/components/routes/organizer/Settings/Sections/SeoSettings/index.tsx:81,,Allow search engines to index this event,"=GOOGLETRANSLATE(C158, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:205 | src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:417,,Almost there! Finish connecting your Stripe account to start accepting payments.,"=GOOGLETRANSLATE(C159, ""en"", ""el"")",
src/components/routes/product-widget/PaymentReturn/index.tsx:90,,Almost there! We're just waiting for your payment to be processed. This should only take a few seconds.,"=GOOGLETRANSLATE(C160, ""en"", ""el"")",
src/components/routes/auth/Register/index.tsx:75,,Already have an account? <0>{0}</0>,"=GOOGLETRANSLATE(C161, ""en"", ""el"")",
src/components/modals/RefundOrderModal/index.tsx:85,,Already Refunded,"=GOOGLETRANSLATE(C162, ""en"", ""el"")",
src/components/modals/RefundOrderModal/index.tsx:131,,Also cancel this order,"=GOOGLETRANSLATE(C163, ""en"", ""el"")",
src/components/modals/CancelOrderModal/index.tsx:76,,Also refund this order,"=GOOGLETRANSLATE(C164, ""en"", ""el"")",
src/components/common/ProductsTable/SortableProduct/index.tsx:447,,Always available,"=GOOGLETRANSLATE(C165, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/SeoSettings/index.tsx:80 | src/components/routes/organizer/Settings/Sections/SeoSettings/index.tsx:77,,"Amazing, Event, Keywords...","=GOOGLETRANSLATE(C166, ""en"", ""el"")",
src/components/common/OrdersTable/index.tsx:341 | src/components/forms/TaxAndFeeForm/index.tsx:71 | src/components/routes/product-widget/SelectProducts/Prices/Tiered/index.tsx:36,,Amount,"=GOOGLETRANSLATE(C167, ""en"", ""el"")",
src/components/routes/organizer/Reports/PlatformFeesReport/index.tsx:69,,Amount Paid,"=GOOGLETRANSLATE(C168, ""en"", ""el"")",
src/components/modals/CreateAttendeeModal/index.tsx:176,,Amount paid ({0}),"=GOOGLETRANSLATE(C169, ""en"", ""el"")",
src/components/forms/AffiliateForm/index.tsx:90,,An email to associate with this affiliate. The affiliate will not be notified.,"=GOOGLETRANSLATE(C170, ""en"", ""el"")",
src/mutations/useExportAnswers.ts:45,,An error occurred while checking export status.,"=GOOGLETRANSLATE(C171, ""en"", ""el"")",
src/components/common/ErrorDisplay/index.tsx:19,,An error occurred while loading the page,"=GOOGLETRANSLATE(C172, ""en"", ""el"")",
src/components/forms/ProductForm/index.tsx:514,,"An optional message to display on the highlighted product, e.g. \""Selling fast 🔥\"" or \""Best value\""","=GOOGLETRANSLATE(C173, ""en"", ""el"")",
